id	speaker	text	truth	human_wav	ref_wav	ref_text
easyenglish_s0_074622	easyenglish_s0	Або схоже, на що схожа сьогодні погода. Або як сьогодні погода, як виглядає сьогодні погода.	А́бо схо́же, на що схо́жа сього́дні пого́да. А́бо як сього́дні пого́да, як вигляда́є сього́дні пого́да.	datasets/combined/wavs/074622.wav	training/raw/easyenglish_s0/076529.wav	Ду́же ціка́ве рече́ння, якщо́ не зна́ти до́бре англі́йської. О́тже, це означа́є, де́які з них ма́ють соба́к. О́тже,
easyenglish_s0_088307	easyenglish_s0	Тепер пригадайте, як сказати ходімо, пішли.	Тепе́р пригада́йте, як сказа́ти ході́мо, пішли́.	datasets/combined/wavs/088307.wav	training/raw/easyenglish_s0/076529.wav	Ду́же ціка́ве рече́ння, якщо́ не зна́ти до́бре англі́йської. О́тже, це означа́є, де́які з них ма́ють соба́к. О́тже,
easyenglish_s0_067625	easyenglish_s0	вживається в кінці речення. Тому можна було б сказати	вжива́ється в кінці́ речення. Тому́ мо́жна було́ б сказа́ти	datasets/combined/wavs/067625.wav	training/raw/easyenglish_s0/076529.wav	Ду́же ціка́ве рече́ння, якщо́ не зна́ти до́бре англі́йської. О́тже, це означа́є, де́які з них ма́ють соба́к. О́тже,
easyenglish_s0_085362	easyenglish_s0	Тобто, пам'ятаєте, тут немає займенника. Немає займенника	То́бто, пам'ята́єте, тут нема́є займе́нника. Нема́є займе́нника	datasets/combined/wavs/085362.wav	training/raw/easyenglish_s0/076529.wav	Ду́же ціка́ве рече́ння, якщо́ не зна́ти до́бре англі́йської. О́тже, це означа́є, де́які з них ма́ють соба́к. О́тже,
easyenglish_s0_078373	easyenglish_s0	Нам воно сьогодні не потрібно. Просто запам'ятайте, що	Нам воно́ сього́дні не потрі́бно. Про́сто запам'ята́йте, що	datasets/combined/wavs/078373.wav	training/raw/easyenglish_s0/076529.wav	Ду́же ціка́ве рече́ння, якщо́ не зна́ти до́бре англі́йської. О́тже, це означа́є, де́які з них ма́ють соба́к. О́тже,
easyenglish_s0_104162	easyenglish_s0	Запитайте. Чи хотів би ти подивитися фільм?	Запита́йте. Чи хоті́в би ти подиви́тися фільм?	datasets/combined/wavs/104162.wav	training/raw/easyenglish_s0/076529.wav	Ду́же ціка́ве рече́ння, якщо́ не зна́ти до́бре англі́йської. О́тже, це означа́є, де́які з них ма́ють соба́к. О́тже,
easyenglish_s0_101950	easyenglish_s0	це ріжок. Ріжок морозива. Ви йдете в ресторан.	це ріжо́к. Ріжо́к моро́зива. Ви йдете́ в рестора́н.	datasets/combined/wavs/101950.wav	training/raw/easyenglish_s0/076529.wav	Ду́же ціка́ве рече́ння, якщо́ не зна́ти до́бре англі́йської. О́тже, це означа́є, де́які з них ма́ють соба́к. О́тже,
easyenglish_s0_064110	easyenglish_s0	це без проблем, тобто роби собі те, що ти хочеш. Немає проблем, немає питань, я погоджуюсь з усім, що ти хочеш зробити.	це без пробле́м, то́бто роби́ собі́ те, що ти хо́чеш. Нема́є пробле́м, нема́є пита́нь, я пого́джуюсь з усі́м, що ти хо́чеш зроби́ти.	datasets/combined/wavs/064110.wav	training/raw/easyenglish_s0/076529.wav	Ду́же ціка́ве рече́ння, якщо́ не зна́ти до́бре англі́йської. О́тже, це означа́є, де́які з них ма́ють соба́к. О́тже,
easyenglish_s0_084130	easyenglish_s0	Тут, наприклад, як отримав. Я отримав ключі вчора.	Тут, напри́клад, як отри́мав. Я отри́мав ключі́ вчо́ра.	datasets/combined/wavs/084130.wav	training/raw/easyenglish_s0/076529.wav	Ду́же ціка́ве рече́ння, якщо́ не зна́ти до́бре англі́йської. О́тже, це означа́є, де́які з них ма́ють соба́к. О́тже,
easyenglish_s0_104406	easyenglish_s0	Тепер спробуйте сказати, я трішки розумію англійську. Дослівно це буде, я розумію англійську трішки.	Тепе́р спро́буйте сказа́ти, я трі́шки розумі́ю англі́йську. Дослі́вно це бу́де, я розумі́ю англі́йську трі́шки.	datasets/combined/wavs/104406.wav	training/raw/easyenglish_s0/076529.wav	Ду́же ціка́ве рече́ння, якщо́ не зна́ти до́бре англі́йської. О́тже, це означа́є, де́які з них ма́ють соба́к. О́тже,
easyenglish_s1_104496	easyenglish_s1	Так, це чудове місце для життя.	Так, це чудо́ве мі́сце для життя́.	datasets/combined/wavs/104496.wav	training/raw/easyenglish_s1/090978.wav	Ні, але́ я б ду́же хоті́в туди́ пої́хати коли́сь.
easyenglish_s1_075110	easyenglish_s1	Так, я думаю, що навчання робить життя цікавішим.	Так, я ду́маю, що навча́ння ро́бить життя́ ціка́вішим.	datasets/combined/wavs/075110.wav	training/raw/easyenglish_s1/090978.wav	Ні, але́ я б ду́же хоті́в туди́ пої́хати коли́сь.
